SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SINTERCOM,EQ,122,123.79,121,121.16,123.79,123.79,223,27067.22,13-Oct-2025,20,INE129Z01016
SIRCA,EQ,490.25,503.4,486.3,501.15,501,488.5,656169,326267201.20,13-Oct-2025,7611,INE792Z01011
SIS,EQ,325.25,337.9,324.8,335.05,333.45,325.25,115429,38211054.65,13-Oct-2025,6678,INE285J01028
SITINET,BZ,0.48,0.49,0.47,0.47,0.48,0.48,453628,216688.53,13-Oct-2025,218,INE965H01011
SIYSIL,EQ,720,724.8,710,718.15,718.5,728.6,44431,31838782.15,13-Oct-2025,4672,INE076B01028
SJS,EQ,1506.6,1538.3,1494.1,1529.5,1533.1,1506.6,51854,78834781.00,13-Oct-2025,8587,INE284S01014
SJVN,EQ,90,90.95,89.84,90.04,90,90.1,2360986,212948890.01,13-Oct-2025,19341,INE002L01015
SKFINDIA,EQ,4869,4869,4731,4812.9,4835.5,4865.4,40316,194084963.20,13-Oct-2025,11926,INE640A01023
SKIL,BZ,1.45,1.45,1.32,1.32,1.32,1.39,276287,366126.12,13-Oct-2025,128,INE429F01012
SKIPPER,EQ,515,517.8,508.25,512.95,515.15,516.1,220738,113358645.15,13-Oct-2025,11376,INE439E01022
SKMEGGPROD,BE,339.1,345,332.7,339.65,341.7,339.1,56117,19080333.10,13-Oct-2025,746,INE411D01015
SKP,SM,222.95,223,222.95,223,223,223,1000,222975.00,13-Oct-2025,2,INE0KZA01016
SKYGOLD,EQ,339.25,344.3,328.1,337.75,336.9,342.65,1984186,671676612.60,13-Oct-2025,28282,INE01IU01018
SLONE,SM,311,311,311,311,311,315,800,248800.00,13-Oct-2025,1,INE0SMA01017
SMARTEN,SM,89.6,90.45,88,88.25,88,89.6,20400,1811040.00,13-Oct-2025,17,INE14GK01016
SMARTLINK,EQ,148.5,148.51,143.09,144.37,146,146.83,2571,372701.94,13-Oct-2025,135,INE178C01020
SMARTWORKS,EQ,575.05,585.4,557.6,560.9,564.8,586.75,157805,89671463.60,13-Oct-2025,9858,INE0NAZ01010
SMCGLOBAL,EQ,140,140.45,137,137.85,137.29,139.39,58368,8080579.37,13-Oct-2025,1033,INE103C01036
SMLISUZU,EQ,3225,3297,3077,3099.6,3095,3206,79806,253029073.80,13-Oct-2025,10048,INE294B01019
SMSLIFE,EQ,1110,1149.9,1110,1125.4,1120,1118.9,451,507629.90,13-Oct-2025,141,INE320X01016
SMSPHARMA,EQ,271,281.79,270.1,280.16,279.97,274.65,131830,36560373.22,13-Oct-2025,5663,INE812G01025
SNEHAA,SM,85.5,88.95,84.5,86.5,86.5,87.25,26000,2259500.00,13-Oct-2025,11,INE1OIC01018
SNOWMAN,EQ,52.1,52.4,51.33,51.63,51.75,52.23,217796,11295040.41,13-Oct-2025,1767,INE734N01019
SOBHA,EQ,1452,1457.7,1435.9,1447.4,1448,1452,49006,70845132.70,13-Oct-2025,6989,INE671H01015
SOFTTECH,EQ,389.05,389.05,375.1,379.25,379.75,379.85,10191,3861802.60,13-Oct-2025,917,INE728Z01015
SOLARINDS,BL,14005,14005,14005,14005,14005,15420,8575,120092875.00,13-Oct-2025,1,INE343H01029
SOLARINDS,EQ,14054,14133,13922,14000,14000,14110,145807,2042793965.00,13-Oct-2025,22227,INE343H01029
SOLARA,EQ,601.25,602.95,591,594.7,595.65,601.25,93319,55598900.25,13-Oct-2025,8659,INE624Z01016
SOLARAPP1,E1,447.7,447.7,415.1,419.45,421.7,425.2,111,47146.45,13-Oct-2025,32,IN9624Z01022
SOLARWORLD,EQ,327.55,344.9,327.25,334.75,329.4,329.9,1239976,418906003.20,13-Oct-2025,34606,INE0TY101024
SOLEX,EQ,1470.75,1542.55,1470.75,1484.1,1490.5,1548.15,225009,333049178.25,13-Oct-2025,4193,INE880Y01017
BALCO,SM,29.75,29.75,29.75,29.75,29.75,28.95,1200,35700.00,13-Oct-2025,1,INE0U0201016
SDBL,EQ,125.5,126.61,123.98,124.41,124.44,126.12,483291,60472735.54,13-Oct-2025,8289,INE480C01038
SOMATEX,BE,78.8,79.73,78,79.73,79.73,75.94,41846,3324575.12,13-Oct-2025,209,INE314C01013
SOMANYCERA,EQ,455.1,464.85,443.5,448.2,449.5,459.2,37829,17154186.45,13-Oct-2025,2416,INE355A01028
SOMICONVEY,EQ,144.4,148.18,143.51,144.65,144.7,146.2,7330,1062460.11,13-Oct-2025,211,INE323J01019
SONACOMS,EQ,434,437.3,424.6,435.75,434.2,432.8,2600084,1125160999.70,13-Oct-2025,43404,INE073K01018
SONAMAC,SM,75.05,75.05,73.5,75,75,76.2,6000,448700.00,13-Oct-2025,6,INE0Q6H01012
SONAMLTD,EQ,43.8,43.8,40.2,40.5,41.34,41.65,56769,2324806.62,13-Oct-2025,784,INE00LM01029
SONATSOFTW,EQ,367.5,368,361,363.35,364,368.7,442182,160717815.30,13-Oct-2025,12266,INE269A01021
SONUINFRA,SM,99.95,99.95,95.45,99.9,99.9,99.95,4500,442950.00,13-Oct-2025,3,INE0JZA01018
SOTAC,SM,118.75,125,118.75,125,125,125,3600,442500.00,13-Oct-2025,3,INE0O2D01012
SOUTHWEST,EQ,128.9,131.8,128.9,129.74,131.8,128.9,14853,1932088.01,13-Oct-2025,459,INE980Y01015
SPCENET,EQ,9.62,9.62,9.18,9.62,9.62,9.17,2983625,28639598.54,13-Oct-2025,1186,INE970N01027
SSFLPP,E1,127,129.45,126.8,127.15,127.1,129.8,1552,198330.10,13-Oct-2025,77,IN9572J01019
SPANDANA,EQ,254.6,255.05,251,252.7,252.25,255.15,74564,18812738.65,13-Oct-2025,3375,INE572J01011
SPECIALITY,EQ,139.6,139.6,136.31,137.56,137.7,138.81,23014,3166047.68,13-Oct-2025,481,INE247M01014
SPECTRUM,EQ,1318.9,1365,1280.4,1337.4,1364,1339,7816,10380399.10,13-Oct-2025,847,INE01EO01010
SPECTSTM,SM,93.1,94.15,93.1,94.15,94.15,98,2400,224280.00,13-Oct-2025,3,INE0OL001018
SPENCERS,EQ,55.74,56.25,53.9,54.68,54.84,55.86,89298,4902907.46,13-Oct-2025,1395,INE020801028
SPIC,EQ,93.45,93.89,91.5,91.69,91.69,93.06,849273,78438247.71,13-Oct-2025,6336,INE147A01011
SPLIL,EQ,40.3,40.3,38.15,38.23,38.15,38.9,5307,206223.44,13-Oct-2025,89,INE978G01016
SPMLINFRA,EQ,239.9,239.9,234.16,235.12,235.7,241.13,93923,22251192.17,13-Oct-2025,2406,INE937A01023
SPORTKING,EQ,99.92,100.19,97.4,97.62,97.45,99.92,108208,10620703.13,13-Oct-2025,1730,INE885H01029
SPPPOLY,SM,16.75,17.45,16.75,17.45,17.45,16.65,18000,310600.00,13-Oct-2025,8,INE0QR801013
SPUNWEB,SM,148.5,150,148.5,150,150,152.45,3600,538200.00,13-Oct-2025,3,INE19QH01010
SRHHYPOLTD,EQ,577.75,581,570.05,572.85,577,576.05,4297,2476493.15,13-Oct-2025,406,INE917H01012
SREEL,EQ,234.88,234.88,228.3,228.55,229.45,231.34,4662,1069189.33,13-Oct-2025,157,INE099F01013
SRF,EQ,3006,3061.4,2990.6,3047.4,3048.7,3024.5,207693,629916687.30,13-Oct-2025,30148,INE647A01010
SRGHFL,EQ,300.05,312,300.05,309.9,310,303.5,1638,505617.80,13-Oct-2025,47,INE559N01010
SABTNL,BE,850.05,895.75,850,880,880,871.7,1460,1278988.80,13-Oct-2025,232,INE416A01044
HAVISHA,EQ,2.21,2.28,2.1,2.14,2.14,2.03,436453,969110.65,13-Oct-2025,477,INE293B01029
LOTUSDEV,EQ,185.11,185.43,182.95,183.19,183.39,185.56,585652,107572464.13,13-Oct-2025,8263,INE0V9Q01010
SSFL,SM,151,151,146.25,150,150,148.05,6500,968375.00,13-Oct-2025,12,INE0ON201012
SRM,EQ,550,564.85,541.75,562.25,562.9,556.1,90710,50556331.95,13-Oct-2025,5133,INE0R6Z01013
STALLION,EQ,295,337.55,281,337.55,337.55,306.9,12394482,3961632073.95,13-Oct-2025,88467,INE0RYC01010
SGLTL,EQ,178,180.88,174.25,178.55,178.55,178,336676,59645807.01,13-Oct-2025,4328,INE0M4D01010
